Station Name,Adjacent building,Adjacent station,Architect,Area,Connecting line,Date of official closure,Date of official opening,Different from,Has part(s),Has use,Heritage designation,Inception,Interchange station,Localisation,Located on street,Location,Named after,Operator,Owned by,Part of,Pronunciation audio,Significant event,Street address,Transport network,Visitors per year
Argentine (Paris Metro),,"Porte Maillot (La Défense, Paris Métro Line 1)Charles de Gaulle - Étoile (Château de Vincennes, Paris Métro Line 1)",,,"Paris Métro Line 1 (Charles de Gaulle - Étoile, Porte Maillot)",,1 September 1900,,,,,,,"48° 52′ 31.92″ N, 2° 17′ 21.56″ E",,16th arrondissement of Paris17th arrondissement of ParisFrance,rue d'Argentine,RATP (1949–),RATP (1949–),,,,,Paris Métro,
Arts et Métiers (Paris Metro),,"Réaumur – Sébastopol (Pont de Levallois – Bécon, Paris Métro Line 3)Temple (Gallieni, Paris Métro Line 3)Rambuteau (Châtelet, Paris Métro Line 11)République (Rosny-Bois-Perrier, Paris Métro Line 11)",,,Paris Métro Line 3Paris Métro Line 11,,19 October 1904,,,,,1904,,"48° 51′ 55.01″ N, 2° 21′ 24.98″ E",,"3rd arrondissement of Paris, Paris Centre, Paris, Grand Paris, France",Conservatoire national des Arts et Métiers,RATP,RATP,,,,,Paris Métro,
Assemblée nationale (Paris Metro),,"Concorde (Mairie d'Aubervilliers, Paris Métro Line 12)Solférino (Mairie d'Issy, Paris Métro Line 12)",,,Paris Métro Line 12,,5 November 1910,National Assembly Station,,,,,,"48° 51′ 38″ N, 2° 19′ 16″ E",,"7th arrondissement of Paris, Paris, Grand Paris, France",National Assembly,RATP,RATP,,,,,Paris Métro,
Aubervilliers - Pantin - Quatre Chemins (Paris Metro),,"Porte de la Villette (Villejuif - Louis Aragon, Mairie d'Ivry, Paris Métro Line 7)Fort d'Aubervilliers (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 7,,4 October 1979,,,,,,,"48° 54′ 14″ N, 2° 23′ 31.99″ E",,"Aubervilliers, Seine-Saint-Denis, Île-de-France, Metropolitan France, France",AubervilliersPantinQuatre-Chemins,RATP,RATP,,,,,Paris Métro,
Avenue Émile-Zola (Paris Metro),,"Charles Michels (Boulogne – Pont de Saint-Cloud, Paris Métro Line 10)La Motte-Picquet – Grenelle (Gare d'Austerlitz, Paris Métro Line 10)",,,Paris Métro Line 10,,13 July 1913,,,,,1913,,"48° 50′ 49.25″ N, 2° 17′ 43.15″ E",,"15th arrondissement of Paris, Paris, Grand Paris, France",avenue Émile-Zola,RATP,RATP,,,,,Paris Métro,
Aéroport Charles-de-Gaulle 2 TGV (Paris Metro),,"Aéroport Charles-de-Gaulle Terminal 4 (Le Mesnil-Amelot, Paris Métro Line 17)Parc des Expositions (Saint-Denis Pleyel, Paris Métro Line 17)",,,Paris Métro Line 17,,,,,,,,Aéroport Charles de Gaulle 2 TGVTerminal 2 - Gare,"49° 00′ 16.93″ N, 2° 34′ 12.86″ E",,,,,,,,,,Paris Métro,
Avron (Paris Metro),,,,,,,,,,,,,,"48° 51′ 07″ N, 2° 23′ 52″ E",,,,,,,,,,,
Aulnay Val Francilia (Paris Metro),,"Sevran - Beaudottes (Noisy - Champs, Paris Métro Line 16)Le Blanc-Mesnil (Saint-Denis Pleyel, Paris Métro Line 16)",,,Paris Métro Line 16,,,,,,,,,"48° 57′ 05.04″ N, 2° 29′ 17.52″ E",,,,,,,,,,Paris Métro,
Aéroport d'Orly (Paris Metro),,"Thiais - Orly (Saint-Denis Pleyel, Paris Métro Line 14)Antonypole - Wissous Centre (Nanterre La Folie, Paris Métro Line 18)",,,"Paris Métro Line 14 (Thiais - Orly, RATP)",,24 June 2024,,,,,24 June 2024,,"48° 43′ 43.51″ N, 2° 21′ 44.53″ E",,"Paray-Vieille-Poste, Essonne, Île-de-France, Metropolitan France, France",Orly Airport,RATPKeolis,RATPKeolis,Orly Airport,,,,Paris Métro,
Barbès - Rochechouart (Paris Metro),,,,,,,,,,,,,,"48° 53′ 01″ N, 2° 20′ 59.1″ E",,,,,,,,,,,
Basilique de Saint-Denis (Paris Metro),,"Saint-Denis – Université (Saint-Denis – Université, Paris Métro Line 13)Saint-Denis – Porte de Paris (Châtillon - Montrouge, Paris Métro Line 13)",,,Paris Métro Line 13,,20 June 1976,,,,,,Basilique de Saint-Denis,"48° 56′ 17″ N, 2° 21′ 39″ E",,Saint-DenisFrance,,RATP,RATP,,,,,Paris Métro,
Balard (Paris Metro),,"Lourmel (Pointe du Lac, Paris Métro Line 8)",,,Paris Métro Line 8,,27 July 1937,,,,,,Balard,"48° 50′ 11.04″ N, 2° 16′ 42.17″ E",,"15th arrondissement of Paris, Paris, Grand Paris, France",place Balard,RATP,RATP,,,,,Paris Métro,
Bastille (Paris Metro),,"Saint-Paul (Le Marais) (La Défense, Paris Métro Line 1)Gare de Lyon (Château de Vincennes, Paris Métro Line 1)Quai de la Rapée (Place d'Italie, Paris Métro Line 5, 1939–)Bréguet – Sabin (Bobigny – Pablo Picasso, Paris Métro Line 5)Chemin Vert (Balard, Paris Métro Line 8)Ledru-Rollin (Pointe du Lac, Paris Métro Line 8)",,,"Paris Métro Line 1 (Gare de Lyon, Saint-Paul (Le Marais))Paris Métro Line 5 (Quai de la Rapée, Bréguet – Sabin)Paris Métro Line 8 (Ledru-Rollin, Chemin Vert)",,19 July 1900 (Paris Métro Line 1),Bastille ,,,"monument historique inscrit (entrance, 1978–2016)monument historique inscrit (entrée, Paris Métro entrances by Hector Guimard, 2016–)",,,"48° 51′ 10.23″ N, 2° 22′ 09.05″ E",,4th arrondissement of Paris11th arrondissement of Paris12th arrondissement of ParisFrance,Place de la Bastille,RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1900–1948),RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1900–1948),,,,,Paris Métro,
Bagneux - Lucie Aubrac (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque François-Mitterrand (Paris Metro),,"Cour Saint-Émilion (Saint-Denis Pleyel, Paris Métro Line 14)Olympiades (Aéroport d'Orly, Paris Métro Line 14)",,,Paris Métro Line 14Paris Métro Line 10 (proposed building or structure),,15 October 1998,,,,,15 October 1998,Bibliothèque François Mitterrand Station,"48° 49′ 47.39″ N, 2° 22′ 36.12″ E",,"13th arrondissement of Paris, Paris, Grand Paris, France",Bibliothèque nationale de France,RATP,RATP,,,,,Paris Métro,
Belleville (Paris Metro),,"Colonel Fabien (Porte Dauphine, Paris Métro Line 2)Couronnes (Nation, Paris Métro Line 2)Goncourt (Châtelet, Paris Métro Line 11)Pyrénées (Rosny-Bois-Perrier, Paris Métro Line 11)",,,Paris Métro Line 2Paris Métro Line 11 (1935–),,31 January 1903,,,,,,,"48° 52′ 19.99″ N, 2° 22′ 40.01″ E",,10th arrondissement of Paris11th arrondissement of Paris19th arrondissement of Paris20th arrondissement of ParisFrance,,RATP,RATP,,,,,Paris Métro,
Bel-Air (Paris Metro),,"Daumesnil (Charles de Gaulle - Étoile, Paris Métro Line 6)Picpus (Nation, Paris Métro Line 6)",,,Paris Métro Line 6,,1 March 1909,Bel Air ,,,,,,"48° 50′ 28.86″ N, 2° 24′ 03.35″ E",,"12th arrondissement of Paris, Paris, Grand Paris, France",Quartier du Bel-Air,RATP,RATP,,,,,Paris Métro,
Bérault (Paris Metro),,"Saint-Mandé (La Défense, Paris Métro Line 1)Château de Vincennes (Château de Vincennes, Paris Métro Line 1)",,,"Paris Métro Line 1 (Château de Vincennes, Saint-Mandé)",,24 March 1934,,,,,,,"48° 50′ 43.2″ N, 2° 25′ 45.26″ E",,VincennesSaint-MandéFrance,place Bérault,RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1934–1948),RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1934–1948),,,,,Paris Métro,
Bercy (Paris Metro),,"Quai de la Gare (Charles de Gaulle - Étoile, Paris Métro Line 6)Dugommier (Nation, Paris Métro Line 6)Gare de Lyon (Saint-Denis Pleyel, Paris Métro Line 14)Cour Saint-Émilion (Aéroport d'Orly, Paris Métro Line 14)",,,Paris Métro Line 6Paris Métro Line 14 (1998–),,1 March 1909,,,,,1909,,"48° 50′ 22.99″ N, 2° 22′ 49.01″ E",,"12th arrondissement of Paris, Paris, Grand Paris, France",Quartier de Bercy,RATP,RATP,,,,,Paris Métro,
Bobigny - Pablo Picasso (Paris Metro),,"Bobigny – Pantin – Raymond Queneau (Place d'Italie, Paris Métro Line 5)Pont de Bondy (Champigny Centre, Paris Métro Line 15, building or structure under construction)Drancy - Bobigny (Saint-Denis Pleyel, Paris Métro Line 15, building or structure under construction)",,,Paris Métro Line 5Paris Métro Line 15 (building or structure under construction),,25 April 1985,,,,,,Bobigny - Pablo Picasso (tramway d'Île-de-France),"48° 54′ 24.83″ N, 2° 26′ 57.2″ E",,"Bobigny, Seine-Saint-Denis, Île-de-France, Metropolitan France, France",BobignyRue Pablo-Picasso,RATP,RATP,,,,,Paris Métro,
Billancourt (Paris Metro),,"Pont de Sèvres (Pont de Sèvres, Paris Métro Line 9)Marcel Sembat (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 9,,3 February 1934,,,,,,,"48° 49′ 54.98″ N, 2° 14′ 17.02″ E",,"Boulogne-Billancourt, arrondissement of Boulogne-Billancourt, Hauts-de-Seine, Île-de-France, Metropolitan France, France",Billancourt,RATP,RATP,,,,,Paris Métro,
Bir-Hakeim (Paris Metro),,"Passy (Charles de Gaulle - Étoile, Paris Métro Line 6)Dupleix (Nation, Paris Métro Line 6)",,,Paris Métro Line 6,,24 April 1906,Battle of Bir Hakeim,,,,,Champ de Mars–Tour Eiffel,"48° 51′ 13.97″ N, 2° 17′ 21.8″ E",,"15th arrondissement of Paris, Paris, Grand Paris, France",pont de Bir-Hakeim,RATP,RATP,,,,,Paris Métro,
Blanche (Paris Metro),,,,,,,,,,,,,,"48° 53′ 01.12″ N, 2° 19′ 59.33″ E",,,,,,,,,,,
Bobigny - Pantin - Raymond Queneau (Paris Metro),,"Église de Pantin (Place d'Italie, Paris Métro Line 5)Bobigny – Pablo Picasso (Bobigny – Pablo Picasso, Paris Métro Line 5)",,,Paris Métro Line 5,,25 April 1985,,,,,,,"48° 53′ 43.01″ N, 2° 25′ 28.99″ E",,BobignyPantinFrance,BobignyPantinRue Raymond-Queneau,RATP,RATP,,,,,Paris Métro,
Bondy (Paris Metro),,"Rosny-Bois-Perrier (Champigny Centre, Paris Métro Line 15)Pont de Bondy (Saint-Denis Pleyel, Paris Métro Line 15)",,,Paris Métro Line 15,,,,,,,,,"48° 53′ 37.68″ N, 2° 28′ 49.08″ E",,"Bondy, arrondissement of Bobigny, Seine-Saint-Denis, Île-de-France, Metropolitan France, France",,,,,,,,Paris Métro,
Boissière (Paris Metro),,"Kléber (Charles de Gaulle - Étoile, Paris Métro Line 6)Trocadéro (Nation, Paris Métro Line 6)",,,Paris Métro Line 6,,2 October 1900,La Boissière ,,,"monument historique inscrit (entrance, 1978–2016)monument historique inscrit (entrance, Paris Métro entrances by Hector Guimard, 2016–)",,,"48° 52′ 01″ N, 2° 17′ 24″ E",avenue Kléber,"16th arrondissement of Paris, Paris, Grand Paris, France",rue Boissière,RATP,RATP,,,,,Paris Métro,
Bolivar (Paris Metro),,"Buttes Chaumont (Pré Saint-Gervais, Paris Métro Line 7bis)Jaurès (Louis Blanc, Paris Métro Line 7bis)",,,Paris Métro Line 7bis,,18 July 1911,Bolivar,,,,,,"48° 52′ 50″ N, 2° 22′ 30″ E",,"19th arrondissement of Paris, Paris, Grand Paris, France",,RATP,RATP,,,,,Paris Métro,
Bois-Colombes (Paris Metro),,"Les Agnettes (Saint-Denis Pleyel, Paris Métro Line 15)Bécon-les-Bruyères (Pont de Sèvres, Paris Métro Line 15)",,,Paris Métro Line 15,,,,,,,,Gare de Bois-Colombes,"48° 54′ 54.03″ N, 2° 16′ 19.63″ E",,,,,,,,,,Paris Métro,
Bonne-Nouvelle (Paris Metro),,"Grands Boulevards (Balard, Paris Métro Line 8)Strasbourg – Saint-Denis (Pointe du Lac, Paris Métro Line 8)Grands Boulevards (Pont de Sèvres, Paris Métro Line 9)Strasbourg – Saint-Denis (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 8Paris Métro Line 9 (1933–),,5 May 1931,,,,,,,"48° 52′ 13.94″ N, 2° 20′ 55.39″ E",,2nd arrondissement of Paris9th arrondissement of Paris10th arrondissement of ParisFrance,,RATP,RATP,,,,,Paris Métro,
Botzaris (Paris Metro),,,,,,,,,,,,,,"48° 52′ 46″ N, 2° 23′ 17″ E",,,,,,,,,,,
Boucicaut (Paris Metro),,"Lourmel (Balard, Paris Métro Line 8)Félix Faure (Pointe du Lac, Paris Métro Line 8)",,,Paris Métro Line 8,,27 July 1937,,,,,1937,,"48° 50′ 27.91″ N, 2° 17′ 16.04″ E",,"Paris, Grand Paris, France",rue Marguerite-Boucicaut,RATP,RATP,,,,,Paris Métro,
Bréguet - Sabin (Paris Metro),,,,,,,,,,,,,,"48° 51′ 24.3″ N, 2° 22′ 13.9″ E",,,,,,,,,,,
Brochant (Paris Metro),,"Porte de Clichy (Les Courtilles, Paris Métro Line 13)La Fourche (Châtillon - Montrouge, Paris Métro Line 13)",,,Paris Métro Line 13,,20 January 1912,,,,,1912,,"48° 53′ 27″ N, 2° 19′ 11″ E",,"17th arrondissement of Paris, Paris, Grand Paris, France",,RATP,RATP,,,,,Paris Métro,
Bourse (Paris Metro),,"Quatre-Septembre (Pont de Levallois – Bécon, Paris Métro Line 3)Sentier (Gallieni, Paris Métro Line 3)",,,Paris Métro Line 3,,19 October 1904,,,,,,,"48° 52′ 07.85″ N, 2° 20′ 28.93″ E",,"2nd arrondissement of Paris, Paris Centre, Paris, Grand Paris, France",place de la Bourse,RATP,RATP,,,,,Paris Métro,
Boulogne - Pont de Saint-Cloud (Paris Metro),,"Boulogne – Jean Jaurès (Gare d'Austerlitz, Paris Métro Line 10)",,,Paris Métro Line 10,,2 October 1981,,,,,,,"48° 50′ 26.46″ N, 2° 13′ 41.99″ E",,"Boulogne-Billancourt, arrondissement of Boulogne-Billancourt, Hauts-de-Seine, Île-de-France, Metropolitan France, France",Pont de Saint-Cloud,RATP,RATP,,,,,Paris Métro,
Bécon-les-Bruyères (Paris Metro),,"Bois-Colombes (Saint-Denis Pleyel, Paris Métro Line 15)La Défense (Pont de Sèvres, Paris Métro Line 15)",,,Paris Métro Line 15,,,,,,,,Bécon-les-Bruyères,"48° 54′ 19.19″ N, 2° 16′ 01.11″ E",,,,,,,,,,Paris Métro,
Boulogne - Jean Jaurès (Paris Metro),,"Boulogne – Pont de Saint-Cloud (Boulogne – Pont de Saint-Cloud, Paris Métro Line 10)Michel-Ange – Molitor (Gare d'Austerlitz, Paris Métro Line 10)Porte d'Auteuil (Paris Métro Line 10)",,,Paris Métro Line 10,,3 October 1980,,,,,1980,,"48° 50′ 32″ N, 2° 14′ 20″ E",,"Boulogne-Billancourt, arrondissement of Boulogne-Billancourt, Hauts-de-Seine, Île-de-France, Metropolitan France, France",Boulogne-Billancourtboulevard Jean-Jaurès,RATP,RATP,,,,,Paris Métro,
Cadet (Paris Metro),,,,,,,,,,,,,,"48° 52′ 33.5″ N, 2° 20′ 40.2″ E",,,,,,,,,,,
Buttes Chaumont (Paris Metro),,"Botzaris (Pré Saint-Gervais, Paris Métro Line 7bis)Bolivar (Louis Blanc, Paris Métro Line 7bis)",,,Paris Métro Line 7bis,,13 February 1912,,,,,,,"48° 52′ 43″ N, 2° 22′ 54″ E",,"19th arrondissement of Paris, Paris, Grand Paris, France",,RATP,RATP,,,,,Paris Métro,
Buzenval (Paris Metro),,"Nation (Pont de Sèvres, Paris Métro Line 9)Maraîchers (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 9,,10 December 1933,,,,,,,"48° 51′ 06.32″ N, 2° 24′ 04.85″ E",,"20th arrondissement of Paris, Paris, Grand Paris, France",rue de Buzenval,RATP,RATP,,,renovation (2008),,Paris Métro,"1,914,564 (2013)"
Cambronne (Paris Metro),,"La Motte-Picquet – Grenelle (Charles de Gaulle - Étoile, Paris Métro Line 6)Sèvres – Lecourbe (Nation, Paris Métro Line 6)",,,Paris Métro Line 6,,24 April 1906,Pierre Cambronne,,,,,,"48° 50′ 51.04″ N, 2° 18′ 10.62″ E",,"15th arrondissement of Paris, Paris, Grand Paris, France",rue Cambronne,RATP,RATP,,,,,Paris Métro,
Cardinal Lemoine (Paris Metro),,"Maubert - Mutualité (Boulogne – Pont de Saint-Cloud, Paris Métro Line 10)Jussieu (Gare d'Austerlitz, Paris Métro Line 10)",,,Paris Métro Line 10,,26 April 1931,,,,,1931,,"48° 50′ 47.83″ N, 2° 21′ 05.96″ E",,"5th arrondissement of Paris, Paris, Grand Paris, France",rue du Cardinal-Lemoine,RATP,RATP,,,,,Paris Métro,
Campo-Formio (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,
Carrefour Pleyel (Paris Metro),,"Saint-Denis – Porte de Paris (Saint-Denis – Université, Paris Métro Line 13)Mairie de Saint-Ouen (Châtillon - Montrouge, Paris Métro Line 13)",,,Paris Métro Line 13,,30 June 1952,,,,,,,"48° 55′ 10.34″ N, 2° 20′ 35.26″ E",,Saint-DenisFrance,carrefour Pleyel,RATP,RATP,,,,,Paris Métro,
Censier - Daubenton (Paris Metro),,"Les Gobelins (Villejuif - Louis Aragon, Mairie d'Ivry, Paris Métro Line 7)Place Monge (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 7,,15 February 1930,,,,,,,"48° 50′ 26.99″ N, 2° 21′ 06.01″ E",,"5th arrondissement of Paris, Paris, Grand Paris, France",rue Censierrue Daubenton,RATP,RATP,,,,,Paris Métro,
Champ de Mars (Paris Metro),,La Motte-Picquet – Grenelle (Paris Métro Line 8)École Militaire (Paris Métro Line 8),,,Paris Métro Line 8,2 September 1939 (World War II),13 July 1913,Champ de Mars–Tour Eiffel,,,,13 July 1913,,"48° 51′ 04.67″ N, 2° 18′ 03.79″ E",,"7th arrondissement of Paris, Paris, Grand Paris, France",Champ de Mars,,,,,,,Paris Métro,
Champigny Centre (Paris Metro),,"Nogent - Le Perreux (Saint-Denis Pleyel, Paris Métro Line 15)Saint-Maur - Créteil (Pont de Sèvres, Paris Métro Line 15)Bry-Villiers-Champigny (Noisy - Champs, Paris Métro Line 15)",Thomas Richez,,Paris Métro Line 15,,,,,,,,,"48° 48′ 57.96″ N, 2° 30′ 07.78″ E",,"Champigny-sur-Marne, Val-de-Marne, Île-de-France, Metropolitan France, France",,,,,,,,Paris Métro,
Champs-Élysées - Clemenceau (Paris Metro),,"Franklin D. Roosevelt (La Défense, Paris Métro Line 1)Concorde (Château de Vincennes, Paris Métro Line 1)Miromesnil (Les Courtilles, Saint-Denis – Université, Paris Métro Line 13)Invalides (Châtillon - Montrouge, Paris Métro Line 13)",,,"Paris Métro Line 1 (Concorde, Franklin D. Roosevelt)Paris Métro Line 13 (Invalides, Miromesnil)",,19 July 1900 (Paris Métro Line 1),,,,,1900,,"48° 52′ 02.68″ N, 2° 18′ 50.25″ E",,"8th arrondissement of Paris, Paris, Grand Paris, France",avenue des Champs-Élyséesplace Clemenceau,RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1900–1948),RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1900–1948),,,,,Paris Métro,
La Chapelle (Paris Metro),,"Barbès - Rochechouart (Porte Dauphine, Paris Métro Line 2)Stalingrad (Nation, Paris Métro Line 2)",,,Paris Métro Line 2,,7 October 1902,,,,,,Magenta railway stationGare de Paris-Nord,"48° 53′ 03.98″ N, 2° 21′ 36″ E",,10th arrondissement of Paris18th arrondissement of ParisFrance,boulevard de la Chapelle,RATP,RATP,,,,,Paris Métro,
Chardon-Lagache (Paris Metro),,,,,,,,,,,,,,"48° 50′ 42.03″ N, 2° 15′ 59.35″ E",,,,,,,,,,,
Charles Michels (Paris Metro),,"Javel – André Citroën (Boulogne – Pont de Saint-Cloud, Paris Métro Line 10)Avenue Émile Zola (Gare d'Austerlitz, Paris Métro Line 10)",,,Paris Métro Line 10,,13 July 1913,,,,,1913,,"48° 50′ 48.01″ N, 2° 17′ 12.98″ E",,"15th arrondissement of Paris, Paris, Grand Paris, France",place Charles-Michels,RATP,RATP,,,,,Paris Métro,
Charenton - Écoles (Paris Metro),,"Liberté (Balard, Paris Métro Line 8)École Vétérinaire de Maisons-Alfort (Pointe du Lac, Paris Métro Line 8)",,,Paris Métro Line 8,,5 October 1942,,,,,,,"48° 49′ 17″ N, 2° 24′ 49″ E",,"Charenton-le-Pont, Val-de-Marne, Île-de-France, Metropolitan France, France",Charenton-le-PontÉcole primaire Aristide-Briand,RATP,RATP,,,,,Paris Métro,
Charles de Gaulle - Étoile (Paris Metro),,"Argentine (La Défense, Paris Métro Line 1)George V (Château de Vincennes, Paris Métro Line 1)Victor Hugo (Porte Dauphine, Paris Métro Line 2)Ternes (Nation, Paris Métro Line 2)Kléber (Nation, Paris Métro Line 6)",,,"Paris Métro Line 1 (George V, Argentine)Paris Métro Line 2 (Ternes, Victor Hugo)Paris Métro Line 6 (Kléber)","15 October 1907 (Place d'Italie, Paris Métro Line 2)17 May 1931 (Place d'Italie, Paris Métro Line 5)6 December 1931 (Paris Métro Line 6)6 October 1942 (Paris Métro Line 5)",1 September 1900 (Paris Métro Line 1),,,,,,Charles-de-Gaulle - Étoile,"48° 52′ 27.87″ N, 2° 17′ 44.75″ E",,16th arrondissement of Paris17th arrondissement of ParisFrance,place Charles-de-Gaulle,RATP (1949–),RATP (1949–),,,,,Paris Métro,
Charonne (Paris Metro),,"Voltaire (Pont de Sèvres, Paris Métro Line 9)Rue des Boulets (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 9,,10 December 1933,,,,,,,"48° 51′ 18″ N, 2° 23′ 03.98″ E",,"11th arrondissement of Paris, Paris, Grand Paris, France",rue de Charonne,RATP,RATP,,,Charonne Métro Station massacre,,Paris Métro,
Château d'Eau (Paris Metro),,,,,,,,,,,,,,"48° 52′ 21.3″ N, 2° 21′ 19.7″ E",,,,,,,,,,,
Château Rouge (Paris Metro),,"Marcadet – Poissonniers (Porte de Clignancourt, Paris Métro Line 4)Barbès - Rochechouart (Bagneux–Lucie Aubrac, Paris Métro Line 4)",,,Paris Métro Line 4,,21 April 1908,Château Rouge ,,,,,,"48° 53′ 13.83″ N, 2° 20′ 59.38″ E",,"18th arrondissement of Paris, Paris, Grand Paris, France",place du Château-Rouge,RATP,RATP,,,,,Paris Métro,
Château de Vincennes (Paris Metro),,"Bérault (La Défense, Paris Métro Line 1)Les Rigollots (Val de Fontenay, Paris Métro Line 1)",,,Paris Métro Line 1 (Bérault),,24 March 1934,,,,,24 March 1934,,"48° 50′ 40.33″ N, 2° 26′ 22.23″ E",,12th arrondissement of ParisVincennesFrance,Château de Vincennes,RATP (1949–)Centre des monuments nationauxCompagnie du chemin de fer métropolitain de Paris (1934–1948),RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1934–1948),,,,,Paris Métro,
Château-Landon (Paris Metro),,"Gare de l'Est (Villejuif - Louis Aragon, Mairie d'Ivry, Paris Métro Line 7)Louis Blanc (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 7,,5 November 1910,,,,,,,"48° 52′ 41.99″ N, 2° 21′ 42.98″ E",,"10th arrondissement of Paris, Paris, Grand Paris, France",rue du Château-Landon,RATP,RATP,,,,,Paris Métro,
